episode,MAPPO_mean,MAPPO_std,DCPPO_mean,DCPPO_std,ARA_mean,ARA_std
0,164958.59375,1013.1097914159603,165200.37239583334,455.9161681586968,201147.72916666666,2933.4625514763097
1,171178.70659722222,1459.9651800531376,171681.86805555553,537.6295982007235,209537.5399305556,1121.3875163692715
2,183987.13715277775,3574.8060577368715,184407.01736111112,1181.2589727017871,225001.86111111112,8024.862926708965
3,199330.46180555553,2885.227820874989,199125.3055555556,1202.782607781803,244381.79340277778,9861.684201048256
4,212851.30034722222,3217.355285216937,211245.62847222225,1845.568427075915,260365.4930555556,10287.994562191881
5,223831.59722222225,2176.8171905102627,220334.5381944444,1915.9075231236598,273468.4635416667,8222.672118117753
6,232386.0243055556,1530.5671452929955,227090.83159722225,1798.295716611711,281105.5138888888,6376.539887228264
7,238685.83680555553,1700.9496354015466,232394.19270833334,1853.3390358011534,288149.7708333333,5161.2591585666405
8,244968.4288194444,1870.9822480573996,237910.5486111111,1041.5247115817374,294641.25,2262.8298272144407
9,250683.00347222225,3359.6112107376,243191.71354166666,2279.9100468252213,299881.0243055555,2982.8612402224812
10,257508.99479166666,3989.1720313069136,248530.37152777778,2002.1007178272455,304828.6319444445,1315.2281161197975
11,264298.98090277775,3947.2947083750787,254629.21180555553,2509.0750334537174,307325.06944444444,2195.9812750688166
12,270394.80381944444,4503.892436955808,259640.2986111111,4056.011379386786,312808.8958333333,1059.5338915687466
13,276357.93402777775,4332.226676464778,265128.1145833333,3983.905542659092,315543.7638888889,1703.3027066544173
14,281902.5416666667,4287.038924139556,269767.19618055556,3229.462930505265,318872.3333333333,3850.1886590652916
15,286939.22569444444,4773.517072831194,274103.5659722222,3533.930483337281,320359.96875,4569.489431774683
16,291601.5833333333,4973.083819904521,278147.84027777775,3529.489126252144,325385.15277777775,4957.5780825946795
17,297101.5659722222,4730.836851105372,283078.07638888893,2541.1787641622705,330153.96875,5681.755930471716
18,303319.2708333333,5093.115643792723,288414.0347222222,1905.2242975437564,336141.24305555556,7124.4537435605125
19,308659.3055555555,4473.371196756245,292707.78472222225,1497.0933209037219,339974.37152777775,9208.891618306157
20,313912.43402777775,4629.2573016828455,296629.3541666667,3707.1014651030664,344466.30555555556,9666.695972366753
21,317223.25347222225,2978.443202518109,299368.52430555556,4043.624572068004,347656.41319444444,9683.80567018758
22,322285.18055555556,2389.630394641875,303134.77430555556,4962.874765690085,350319.7847222222,7955.092584149378
23,328612.4305555555,1693.4102872835674,307132.3958333333,3639.332947899115,355241.35763888893,4841.056689451058
24,334897.18055555556,2645.647919732276,310744.6041666667,2730.8933556359852,358651.90625,3534.091324699943
25,340234.16319444444,3709.200109994406,313964.1631944445,2870.3737567242692,364123.6041666667,3918.031619607488
26,343688.11111111107,1582.5343705927276,316599.3541666667,3853.8996829121697,366453.46875,3687.3653395845527
27,347384.73263888893,1387.4958838595364,319419.2465277778,3421.031023287772,370551.48263888893,4767.658998387587
28,351519.2083333333,2748.6536990364143,322612.26388888893,894.1465797325591,372036.0104166667,3078.9903403646863
29,354319.52430555556,4006.8282799558037,324367.76736111107,2215.4309557504935,375627.0,2807.4358521259364
30,358165.57986111107,2347.19245246108,326975.93055555556,2265.953852099651,377536.4895833333,3565.2317381454586
31,360823.875,1252.199799942352,329421.05902777775,1308.0683142186624,381287.3159722222,4427.1071600502555
32,363349.99652777775,1834.4987829217596,333115.6284722222,2466.3074935208265,383195.44097222225,5960.325103976142
33,365805.9826388888,2397.764124558477,336348.85069444444,3518.221846993582,385440.0868055555,4336.738792592828
34,367388.95138888893,2159.090260043061,337831.75,3464.0620588225615,386745.48263888893,2992.857127753613
35,370544.3958333333,1118.978826885211,339231.5486111112,2753.6265907319907,388588.56944444444,4250.494746227768
36,372485.4826388888,2201.987850399881,340666.48263888893,3069.2170022276982,391036.81944444444,4913.8191870333985
37,377473.1215277778,2702.525793941626,345232.65277777775,4488.457241198706,393182.3645833333,6367.170966568513
38,379356.8854166667,3436.7163736068164,348222.03819444444,6366.481650636572,397317.1527777778,5262.432586748335
39,382330.76388888893,1569.0676783234808,352193.62152777775,4881.3830079213385,399571.50347222225,4184.448873097145
40,383585.2291666667,786.9569334908174,354041.19444444444,5033.472529305149,401794.15625,3010.1602659156533
41,384209.2291666667,969.8225920932872,355272.59722222225,4684.345594474616,402161.46180555556,1513.7791097708246
42,386338.20138888893,1302.7120863736695,357224.24652777775,5126.695563758896,404412.3333333333,1374.9638151409968
43,387251.09722222225,280.1302013772793,359241.2951388888,4514.722164915764,408140.9618055555,1607.0947203386415
44,390507.8229166667,1699.5811565001527,363470.12152777775,3924.767647773778,411552.5972222222,2035.55470585775
45,392159.1041666667,2197.84451098483,365494.69097222225,2726.402297612354,412026.50347222225,1089.7974814119914
46,393292.6597222222,3331.8396552857052,367088.84722222225,1918.652489982189,410916.68055555556,1142.2341344282197
47,394391.1145833333,2098.1657857252417,367844.6666666667,1181.2850223993323,412081.9826388888,1693.6397232554898
48,394586.00694444444,1491.4621602542304,368457.6875,2358.375896903153,414910.3368055555,4168.735395874551
