series,environment_steps,environment_steps_million,raw_value,three_point_smoothed_value
MAPPO strict 1+5,25600,0.0256,90780.0546875,93380.3671875
MAPPO strict 1+5,76800,0.0768,95980.6796875,94596.984375
MAPPO strict 1+5,128000,0.128,97030.21875,98762.72916666667
MAPPO strict 1+5,179200,0.1792,103277.2890625,105007.0625
MAPPO strict 1+5,230400,0.2304,114713.6796875,114478.50520833333
MAPPO strict 1+5,281600,0.2816,125444.546875,126191.6640625
MAPPO strict 1+5,332800,0.3328,138416.765625,136016.96875
MAPPO strict 1+5,384000,0.384,144189.59375,146393.6875
MAPPO strict 1+5,435200,0.4352,156574.703125,154602.734375
MAPPO strict 1+5,486400,0.4864,163043.90625,164804.921875
MAPPO strict 1+5,537600,0.5376,174796.15625,170966.05208333334
MAPPO strict 1+5,588800,0.5888,175058.09375,178577.23958333334
MAPPO strict 1+5,640000,0.64,185877.46875,184275.29166666666
MAPPO strict 1+5,691200,0.6912,191890.3125,190945.55729166666
MAPPO strict 1+5,742400,0.7424,195068.890625,195993.03645833334
MAPPO strict 1+5,793600,0.7936,201019.90625,198591.171875
MAPPO strict 1+5,844800,0.8448,199684.71875,203440.50520833334
MAPPO strict 1+5,896000,0.896,209616.890625,206606.36979166666
MAPPO strict 1+5,947200,0.9472,210517.5,211685.25520833334
MAPPO strict 1+5,998400,0.9984,214921.375,217650.06770833334
MAPPO strict 1+5,1049600,1.0496,227511.328125,226046.30208333334
MAPPO strict 1+5,1100800,1.1008,235706.203125,234441.953125
MAPPO strict 1+5,1152000,1.152,240108.328125,240849.03125
MAPPO strict 1+5,1203200,1.2032,246732.5625,246144.15104166666
MAPPO strict 1+5,1254400,1.2544,251591.5625,249937.36979166666
MAPPO strict 1+5,1305600,1.3056,251487.984375,255524.91145833334
MAPPO strict 1+5,1356800,1.3568,263495.1875,257886.08854166666
MAPPO strict 1+5,1408000,1.408,258675.09375,262463.9375
MAPPO strict 1+5,1459200,1.4592,265221.53125,265289.2604166667
MAPPO strict 1+5,1510400,1.5104,271971.15625,267030.1875
MAPPO strict 1+5,1561600,1.5616,263897.875,267891.1458333333
MAPPO strict 1+5,1612800,1.6128,267804.40625,268273.5104166667
MAPPO strict 1+5,1664000,1.664,273118.25,273597.21875
MAPPO strict 1+5,1715200,1.7152,279869.0,276888.9791666667
MAPPO strict 1+5,1766400,1.7664,277679.6875,280097.7083333333
MAPPO strict 1+5,1817600,1.8176,282744.4375,280641.2083333333
MAPPO strict 1+5,1868800,1.8688,281499.5,283067.7708333333
MAPPO strict 1+5,1920000,1.92,284959.375,284657.21875
MAPPO strict 1+5,1971200,1.9712,287512.78125,287909.21875
MAPPO strict 1+5,2022400,2.0224,291255.5,291183.15625
MAPPO strict 1+5,2073600,2.0736,294781.1875,294436.3020833333
MAPPO strict 1+5,2124800,2.1248,297272.21875,296460.7083333333
MAPPO strict 1+5,2176000,2.176,297328.71875,298777.0416666667
MAPPO strict 1+5,2227200,2.2272,301730.1875,300252.6145833333
MAPPO strict 1+5,2278400,2.2784,301698.9375,302314.0208333333
MAPPO strict 1+5,2329600,2.3296,303512.9375,302850.3854166667
MAPPO strict 1+5,2380800,2.3808,303339.28125,304276.8854166667
MAPPO strict 1+5,2432000,2.432,305978.4375,305360.8229166667
MAPPO strict 1+5,2483200,2.4832,306764.75,308344.59375
MAPPO strict 1+5,2534400,2.5344,312290.59375,309361.28125
MAPPO strict 1+5,2585600,2.5856,309028.5,311166.5729166667
MAPPO strict 1+5,2636800,2.6368,312180.625,311100.9791666667
MAPPO strict 1+5,2688000,2.688,312093.8125,312091.0520833333
MAPPO strict 1+5,2739200,2.7392,311998.71875,313353.3333333333
MAPPO strict 1+5,2790400,2.7904,315967.46875,313954.9895833333
MAPPO strict 1+5,2841600,2.8416,313898.78125,315756.7395833333
MAPPO strict 1+5,2892800,2.8928,317403.96875,314465.0833333333
MAPPO strict 1+5,2944000,2.944,312092.5,314612.2291666667
MAPPO strict 1+5,2995200,2.9952,314340.21875,314666.875
MAPPO strict 1+5,3046400,3.0464,317567.90625,317810.6979166667
MAPPO strict 1+5,3097600,3.0976,321523.96875,320628.8854166667
MAPPO strict 1+5,3148800,3.1488,322794.78125,324558.2708333333
MAPPO strict 1+5,3200000,3.2,329356.0625,324118.0520833333
MAPPO strict 1+5,3251200,3.2512,320203.3125,324952.2604166667
MAPPO strict 1+5,3302400,3.3024,325297.40625,322970.6770833333
MAPPO strict 1+5,3353600,3.3536,323411.3125,322996.5
MAPPO strict 1+5,3404800,3.4048,320280.78125,323342.9479166667
MAPPO strict 1+5,3456000,3.456,326336.75,325285.9583333333
MAPPO strict 1+5,3507200,3.5072,329240.34375,327711.0416666667
MAPPO strict 1+5,3558400,3.5584,327556.03125,327153.7708333333
MAPPO strict 1+5,3609600,3.6096,324664.9375,329072.4479166667
MAPPO strict 1+5,3660800,3.6608,334996.375,332372.3333333333
MAPPO strict 1+5,3712000,3.712,337455.6875,338295.96875
MAPPO strict 1+5,3763200,3.7632,342435.84375,338294.2083333333
MAPPO strict 1+5,3814400,3.8144,334991.09375,335650.6770833333
MAPPO strict 1+5,3865600,3.8656,329525.09375,331358.6875
MAPPO strict 1+5,3916800,3.9168,329559.875,331336.8020833333
MAPPO strict 1+5,3968000,3.968,334925.4375,333020.53125
MAPPO strict 1+5,4019200,4.0192,334576.28125,338366.6145833333
MAPPO strict 1+5,4070400,4.0704,345598.125,342568.34375
MAPPO strict 1+5,4121600,4.1216,347530.625,346390.4791666667
MAPPO strict 1+5,4172800,4.1728,346042.6875,345783.28125
MAPPO strict 1+5,4224000,4.224,343776.53125,343250.90625
MAPPO strict 1+5,4275200,4.2752,339933.5,341372.9895833333
MAPPO strict 1+5,4326400,4.3264,340408.9375,341576.6979166667
MAPPO strict 1+5,4377600,4.3776,344387.65625,343252.4895833333
MAPPO strict 1+5,4428800,4.4288,344960.875,344042.7291666667
MAPPO strict 1+5,4480000,4.48,342779.65625,344098.3958333333
MAPPO strict 1+5,4531200,4.5312,344554.65625,343833.9791666667
MAPPO strict 1+5,4582400,4.5824,344167.625,347149.5104166667
MAPPO strict 1+5,4633600,4.6336,352726.25,348571.375
MAPPO strict 1+5,4684800,4.6848,348820.25,351088.8854166667
MAPPO strict 1+5,4736000,4.736,351720.15625,351860.8020833333
MAPPO strict 1+5,4787200,4.7872,355042.0,353776.8229166667
MAPPO strict 1+5,4838400,4.8384,354568.3125,355404.875
MAPPO strict 1+5,4889600,4.8896,356604.3125,352553.8958333333
MAPPO strict 1+5,4940800,4.9408,346489.0625,353354.375
MAPPO strict 1+5,4992000,4.992,356969.75,354329.3854166667
MAPPO strict 1+5,5043200,5.0432,359529.34375,360258.6145833333
MAPPO strict 1+5,5094400,5.0944,364276.75,363411.4375
MAPPO strict 1+5,5145600,5.1456,366428.21875,364619.5520833333
MAPPO strict 1+5,5196800,5.1968,363153.6875,365065.375
MAPPO strict 1+5,5248000,5.248,365614.21875,366008.3958333333
MAPPO strict 1+5,5299200,5.2992,369257.28125,365363.9583333333
MAPPO strict 1+5,5350400,5.3504,361220.375,362333.5625
MAPPO strict 1+5,5401600,5.4016,356523.03125,359303.9791666667
MAPPO strict 1+5,5452800,5.4528,360168.53125,360678.6875
MAPPO strict 1+5,5504000,5.504,365344.5,361346.0416666667
MAPPO strict 1+5,5555200,5.5552,358525.09375,361864.9479166667
MAPPO strict 1+5,5606400,5.6064,361725.25,360931.5625
MAPPO strict 1+5,5657600,5.6576,362544.34375,361950.2291666667
MAPPO strict 1+5,5708800,5.7088,361581.09375,360677.03125
MAPPO strict 1+5,5760000,5.76,357905.65625,359978.625
MAPPO strict 1+5,5811200,5.8112,360449.125,360131.3854166667
MAPPO strict 1+5,5862400,5.8624,362039.375,362761.6458333333
