series,segment,cumulative_steps,learning_episode,raw_or_mean,three_point_smoothed
"MAPPO (fixed 60, 3 seeds)",historical,25600.0,1.0,123567.34974500869,123567.34974500869
"MAPPO (fixed 60, 3 seeds)",historical,76800.0,3.0,129900.57194010417,129900.57194010417
"MAPPO (fixed 60, 3 seeds)",historical,128000.0,5.0,143286.51079644097,143286.51079644097
"MAPPO (fixed 60, 3 seeds)",historical,179200.0,7.0,159110.2376482928,159110.2376482928
"MAPPO (fixed 60, 3 seeds)",historical,230400.0,9.0,173796.73842592593,173796.73842592593
"MAPPO (fixed 60, 3 seeds)",historical,281600.0,11.0,185642.57338686343,185642.57338686343
"MAPPO (fixed 60, 3 seeds)",historical,332800.0,13.0,194848.43778935182,194848.43778935182
"MAPPO (fixed 60, 3 seeds)",historical,384000.0,15.0,202208.04463252318,202208.04463252318
"MAPPO (fixed 60, 3 seeds)",historical,435200.0,17.0,208543.06011284725,208543.06011284725
"MAPPO (fixed 60, 3 seeds)",historical,486400.0,19.0,214969.5185908565,214969.5185908565
"MAPPO (fixed 60, 3 seeds)",historical,537600.0,21.0,221783.19683159722,221783.19683159722
"MAPPO (fixed 60, 3 seeds)",historical,588800.0,23.0,228850.3974247685,228850.3974247685
"MAPPO (fixed 60, 3 seeds)",historical,640000.0,25.0,235703.30143229166,235703.30143229166
"MAPPO (fixed 60, 3 seeds)",historical,691200.0,27.0,241926.23596643517,241926.23596643517
"MAPPO (fixed 60, 3 seeds)",historical,742400.0,29.0,247780.13874421295,247780.13874421295
"MAPPO (fixed 60, 3 seeds)",historical,793600.0,31.0,253029.95153356483,253029.95153356483
"MAPPO (fixed 60, 3 seeds)",historical,844800.0,33.0,258399.35489004632,258399.35489004632
"MAPPO (fixed 60, 3 seeds)",historical,896000.0,35.0,264167.1591435185,264167.1591435185
"MAPPO (fixed 60, 3 seeds)",historical,947200.0,37.0,270272.3214699074,270272.3214699074
"MAPPO (fixed 60, 3 seeds)",historical,998400.0,39.0,276310.67013888893,276310.67013888893
"MAPPO (fixed 60, 3 seeds)",historical,1049600.0,41.0,281175.4625289352,281175.4625289352
"MAPPO (fixed 60, 3 seeds)",historical,1100800.0,43.0,286014.2491319445,286014.2491319445
"MAPPO (fixed 60, 3 seeds)",historical,1152000.0,45.0,291180.0473090278,291180.0473090278
"MAPPO (fixed 60, 3 seeds)",historical,1203200.0,47.0,297687.03096064815,297687.03096064815
"MAPPO (fixed 60, 3 seeds)",historical,1254400.0,49.0,304266.7615740741,304266.7615740741
"MAPPO (fixed 60, 3 seeds)",historical,1305600.0,51.0,309801.04644097225,309801.04644097225
"MAPPO (fixed 60, 3 seeds)",historical,1356800.0,53.0,314219.7583912037,314219.7583912037
"MAPPO (fixed 60, 3 seeds)",historical,1408000.0,55.0,318141.4385127315,318141.4385127315
"MAPPO (fixed 60, 3 seeds)",historical,1459200.0,57.0,321903.35098379635,321903.35098379635
"MAPPO (fixed 60, 3 seeds)",historical,1510400.0,59.0,325828.22222222225,325828.22222222225
"MAPPO (fixed 60, 3 seeds)",historical,1561600.0,61.0,329326.80034722225,329326.80034722225
"MAPPO (fixed 60, 3 seeds)",historical,1612800.0,63.0,332703.5763888888,332703.5763888888
"MAPPO (fixed 60, 3 seeds)",historical,1664000.0,65.0,335441.76200810185,335441.76200810185
"MAPPO (fixed 60, 3 seeds)",historical,1715200.0,67.0,337672.5859375,337672.5859375
"MAPPO (fixed 60, 3 seeds)",historical,1766400.0,69.0,340040.132957176,340040.132957176
"MAPPO (fixed 60, 3 seeds)",historical,1817600.0,71.0,342289.34635416674,342289.34635416674
"MAPPO (fixed 60, 3 seeds)",historical,1868800.0,73.0,345946.64293981483,345946.64293981483
"MAPPO (fixed 60, 3 seeds)",historical,1920000.0,75.0,349242.50231481483,349242.50231481483
"MAPPO (fixed 60, 3 seeds)",historical,1971200.0,77.0,352973.2919560185,352973.2919560185
"MAPPO (fixed 60, 3 seeds)",historical,2022400.0,79.0,355191.65118634264,355191.65118634264
"MAPPO (fixed 60, 3 seeds)",historical,2073600.0,81.0,356872.49059606483,356872.49059606483
"MAPPO (fixed 60, 3 seeds)",historical,2124800.0,83.0,358134.7439236112,358134.7439236112
"MAPPO (fixed 60, 3 seeds)",historical,2176000.0,85.0,359195.5821759259,359195.5821759259
"MAPPO (fixed 60, 3 seeds)",historical,2227200.0,87.0,361300.55107060185,361300.55107060185
"MAPPO (fixed 60, 3 seeds)",historical,2278400.0,89.0,363279.6901041667,363279.6901041667
"MAPPO (fixed 60, 3 seeds)",historical,2329600.0,91.0,365455.09548611107,365455.09548611107
"MAPPO (fixed 60, 3 seeds)",historical,2380800.0,93.0,366852.634693287,366852.634693287
"MAPPO (fixed 60, 3 seeds)",historical,2432000.0,95.0,367778.173755787,367778.173755787
"MAPPO (fixed 60, 3 seeds)",historical,2483200.0,97.0,369038.5557002315,369038.5557002315
"MAPPO (fixed 60, 3 seeds)",historical,2534400.0,99.0,369846.73799189815,369846.73799189815
"MAPPO (fixed 60, 3 seeds)",historical,2585600.0,101.0,371144.7420428241,371144.7420428241
"MAPPO (fixed 60, 3 seeds)",historical,2636800.0,103.0,371971.12138310185,371971.12138310185
