series,segment,cumulative_steps,learning_episode,raw_value,three_point_smoothed_value
MAPPO strict 1+5 (stitched 100M),0-50M,25600,1.0,141740.515625,143899.3046875
MAPPO strict 1+5 (stitched 100M),0-50M,76800,3.0,146058.09375,144900.33854166666
MAPPO strict 1+5 (stitched 100M),0-50M,128000,5.0,146902.40625,148540.48958333334
MAPPO strict 1+5 (stitched 100M),0-50M,179200,7.0,152660.96875,154030.15625
MAPPO strict 1+5 (stitched 100M),0-50M,230400,9.0,162527.09375,162331.390625
MAPPO strict 1+5 (stitched 100M),0-50M,281600,11.0,171806.109375,172495.953125
MAPPO strict 1+5 (stitched 100M),0-50M,332800,13.0,183154.65625,181160.19791666666
MAPPO strict 1+5 (stitched 100M),0-50M,384000,15.0,188519.828125,190332.21354166666
MAPPO strict 1+5 (stitched 100M),0-50M,435200,17.0,199322.15625,197790.47916666666
MAPPO strict 1+5 (stitched 100M),0-50M,486400,19.0,205529.453125,206786.72395833334
MAPPO strict 1+5 (stitched 100M),0-50M,537600,21.0,215508.5625,212388.33333333334
MAPPO strict 1+5 (stitched 100M),0-50M,588800,23.0,216126.984375,219148.44791666666
MAPPO strict 1+5 (stitched 100M),0-50M,640000,25.0,225809.796875,224538.79166666666
MAPPO strict 1+5 (stitched 100M),0-50M,691200,27.0,231679.59375,230807.27604166666
MAPPO strict 1+5 (stitched 100M),0-50M,742400,29.0,234932.4375,235780.94270833334
MAPPO strict 1+5 (stitched 100M),0-50M,793600,31.0,240730.796875,238567.77604166666
MAPPO strict 1+5 (stitched 100M),0-50M,844800,33.0,240040.09375,243214.75520833334
MAPPO strict 1+5 (stitched 100M),0-50M,896000,35.0,248873.375,246410.484375
MAPPO strict 1+5 (stitched 100M),0-50M,947200,37.0,250317.984375,251168.30208333334
MAPPO strict 1+5 (stitched 100M),0-50M,998400,39.0,254313.546875,256689.01041666666
MAPPO strict 1+5 (stitched 100M),0-50M,1049600,41.0,265435.5,264180.484375
MAPPO strict 1+5 (stitched 100M),0-50M,1100800,43.0,272792.40625,271840.65625
MAPPO strict 1+5 (stitched 100M),0-50M,1152000,45.0,277294.0625,277745.0
MAPPO strict 1+5 (stitched 100M),0-50M,1203200,47.0,283148.53125,282739.6979166667
MAPPO strict 1+5 (stitched 100M),0-50M,1254400,49.0,287776.5,286378.9375
MAPPO strict 1+5 (stitched 100M),0-50M,1305600,51.0,288211.78125,291479.2708333333
MAPPO strict 1+5 (stitched 100M),0-50M,1356800,53.0,298449.53125,293829.9270833333
MAPPO strict 1+5 (stitched 100M),0-50M,1408000,55.0,294828.46875,297897.0520833333
MAPPO strict 1+5 (stitched 100M),0-50M,1459200,57.0,300413.15625,300651.9895833333
MAPPO strict 1+5 (stitched 100M),0-50M,1510400,59.0,306714.34375,302354.0
MAPPO strict 1+5 (stitched 100M),0-50M,1561600,61.0,299934.5,303430.8125
MAPPO strict 1+5 (stitched 100M),0-50M,1612800,63.0,303643.59375,303956.5729166667
MAPPO strict 1+5 (stitched 100M),0-50M,1664000,65.0,308291.625,308784.9791666667
MAPPO strict 1+5 (stitched 100M),0-50M,1715200,67.0,314419.71875,311813.9895833333
MAPPO strict 1+5 (stitched 100M),0-50M,1766400,69.0,312730.625,314790.9791666667
MAPPO strict 1+5 (stitched 100M),0-50M,1817600,71.0,317222.59375,315457.625
MAPPO strict 1+5 (stitched 100M),0-50M,1868800,73.0,316419.65625,317686.3541666667
MAPPO strict 1+5 (stitched 100M),0-50M,1920000,75.0,319416.8125,319172.3125
MAPPO strict 1+5 (stitched 100M),0-50M,1971200,77.0,321680.46875,322162.0416666667
MAPPO strict 1+5 (stitched 100M),0-50M,2022400,79.0,325388.84375,325249.8125
MAPPO strict 1+5 (stitched 100M),0-50M,2073600,81.0,328680.125,328356.6770833333
MAPPO strict 1+5 (stitched 100M),0-50M,2124800,83.0,331001.0625,330269.96875
MAPPO strict 1+5 (stitched 100M),0-50M,2176000,85.0,331128.71875,332426.09375
MAPPO strict 1+5 (stitched 100M),0-50M,2227200,87.0,335148.5,333858.53125
MAPPO strict 1+5 (stitched 100M),0-50M,2278400,89.0,335298.375,335737.1354166667
MAPPO strict 1+5 (stitched 100M),0-50M,2329600,91.0,336764.53125,336345.0625
MAPPO strict 1+5 (stitched 100M),0-50M,2380800,93.0,336972.28125,337709.8645833333
MAPPO strict 1+5 (stitched 100M),0-50M,2432000,95.0,339392.78125,338859.2395833333
MAPPO strict 1+5 (stitched 100M),0-50M,2483200,97.0,340212.65625,341601.65625
MAPPO strict 1+5 (stitched 100M),0-50M,2534400,99.0,345199.53125,342643.5520833333
MAPPO strict 1+5 (stitched 100M),0-50M,2585600,101.0,342518.46875,344325.4270833333
MAPPO strict 1+5 (stitched 100M),0-50M,2636800,103.0,345258.28125,344297.9375
MAPPO strict 1+5 (stitched 100M),0-50M,2688000,105.0,345117.0625,345194.9270833333
MAPPO strict 1+5 (stitched 100M),0-50M,2739200,107.0,345209.4375,346340.3541666667
MAPPO strict 1+5 (stitched 100M),0-50M,2790400,109.0,348694.5625,346934.0520833333
MAPPO strict 1+5 (stitched 100M),0-50M,2841600,111.0,346898.15625,348586.0416666667
MAPPO strict 1+5 (stitched 100M),0-50M,2892800,113.0,350165.40625,347511.1875
MAPPO strict 1+5 (stitched 100M),0-50M,2944000,115.0,345470.0,347654.7604166667
MAPPO strict 1+5 (stitched 100M),0-50M,2995200,117.0,347328.875,347656.7083333333
MAPPO strict 1+5 (stitched 100M),0-50M,3046400,119.0,350171.25,350429.0520833333
MAPPO strict 1+5 (stitched 100M),0-50M,3097600,121.0,353787.03125,353013.4895833333
MAPPO strict 1+5 (stitched 100M),0-50M,3148800,123.0,355082.1875,356596.1041666667
MAPPO strict 1+5 (stitched 100M),0-50M,3200000,125.0,360919.09375,356248.1666666667
MAPPO strict 1+5 (stitched 100M),0-50M,3251200,127.0,352743.21875,356972.8125
MAPPO strict 1+5 (stitched 100M),0-50M,3302400,129.0,357256.125,355209.4895833333
MAPPO strict 1+5 (stitched 100M),0-50M,3353600,131.0,355629.125,355186.28125
MAPPO strict 1+5 (stitched 100M),0-50M,3404800,133.0,352673.59375,355489.3229166667
MAPPO strict 1+5 (stitched 100M),0-50M,3456000,135.0,358165.25,357210.8333333333
MAPPO strict 1+5 (stitched 100M),0-50M,3507200,137.0,360793.65625,359499.90625
MAPPO strict 1+5 (stitched 100M),0-50M,3558400,139.0,359540.8125,359119.4895833333
