series,local_learning_episode,raw_value,three_point_smoothed_value
MAPPO continuation (local x),1.0,488246.0,488466.75
MAPPO continuation (local x),3.0,488687.5,488882.5104166667
MAPPO continuation (local x),5.0,489714.03125,489464.8854166667
MAPPO continuation (local x),7.0,489993.125,489510.7916666667
MAPPO continuation (local x),9.0,488825.21875,489881.0208333333
MAPPO continuation (local x),11.0,490824.71875,489791.7916666667
MAPPO continuation (local x),13.0,489725.4375,490247.3125
MAPPO continuation (local x),15.0,490191.78125,490203.84375
MAPPO continuation (local x),17.0,490694.3125,490403.8854166667
MAPPO continuation (local x),19.0,490325.5625,489709.8229166667
MAPPO continuation (local x),21.0,488109.59375,489246.8125
MAPPO continuation (local x),23.0,489305.28125,489150.9479166667
MAPPO continuation (local x),25.0,490037.96875,489378.9375
MAPPO continuation (local x),27.0,488793.5625,489332.6979166667
MAPPO continuation (local x),29.0,489166.5625,488933.0729166667
MAPPO continuation (local x),31.0,488839.09375,489439.6041666667
MAPPO continuation (local x),33.0,490313.15625,489961.5416666667
MAPPO continuation (local x),35.0,490732.375,490673.3854166667
MAPPO continuation (local x),37.0,490974.625,490943.7083333333
MAPPO continuation (local x),39.0,491124.125,491520.3541666667
MAPPO continuation (local x),41.0,492462.3125,492304.3541666667
MAPPO continuation (local x),43.0,493326.625,492748.5104166667
MAPPO continuation (local x),45.0,492456.59375,493011.46875
MAPPO continuation (local x),47.0,493251.1875,492642.90625
MAPPO continuation (local x),49.0,492220.9375,492703.0833333333
MAPPO continuation (local x),51.0,492637.125,492820.84375
MAPPO continuation (local x),53.0,493604.46875,493100.6145833333
MAPPO continuation (local x),55.0,493060.25,493453.2395833333
MAPPO continuation (local x),57.0,493695.0,493043.8333333333
MAPPO continuation (local x),59.0,492376.25,493656.75
MAPPO continuation (local x),61.0,494899.0,493393.0729166667
MAPPO continuation (local x),63.0,492903.96875,493368.625
MAPPO continuation (local x),65.0,492302.90625,492437.5729166667
MAPPO continuation (local x),67.0,492105.84375,492164.2604166667
MAPPO continuation (local x),69.0,492084.03125,491690.2604166667
MAPPO continuation (local x),71.0,490880.90625,490876.2291666667
MAPPO continuation (local x),73.0,489663.75,490154.9166666667
MAPPO continuation (local x),75.0,489920.09375,489620.0416666667
MAPPO continuation (local x),77.0,489276.28125,489551.6979166667
MAPPO continuation (local x),79.0,489458.71875,489563.0416666667
MAPPO continuation (local x),81.0,489954.125,490100.6875
MAPPO continuation (local x),83.0,490889.21875,490911.1875
MAPPO continuation (local x),85.0,491890.21875,491287.4791666667
MAPPO continuation (local x),87.0,491083.0,492130.53125
MAPPO continuation (local x),89.0,493418.375,492455.5416666667
MAPPO continuation (local x),91.0,492865.25,492977.8020833333
MAPPO continuation (local x),93.0,492649.78125,492152.21875
MAPPO continuation (local x),95.0,490941.625,491937.71875
MAPPO continuation (local x),97.0,492221.75,491622.0520833333
MAPPO continuation (local x),99.0,491702.78125,491651.1770833333
MAPPO continuation (local x),101.0,491029.0,491133.1770833333
MAPPO continuation (local x),103.0,490667.75,491695.1875
MAPPO continuation (local x),105.0,493388.8125,491833.7604166667
MAPPO continuation (local x),107.0,491444.71875,491872.40625
MAPPO continuation (local x),109.0,490783.6875,490528.3854166667
MAPPO continuation (local x),111.0,489356.75,489975.1770833333
MAPPO continuation (local x),113.0,489785.09375,489250.0520833333
MAPPO continuation (local x),115.0,488608.3125,489250.0416666667
MAPPO continuation (local x),117.0,489356.71875,489094.8125
MAPPO continuation (local x),119.0,489319.40625,489719.1979166667
MAPPO continuation (local x),121.0,490481.46875,490347.375
MAPPO continuation (local x),123.0,491241.25,490230.59375
MAPPO continuation (local x),125.0,488969.0625,489468.34375
MAPPO continuation (local x),127.0,488194.71875,488354.78125
MAPPO continuation (local x),129.0,487900.5625,487616.3645833333
MAPPO continuation (local x),131.0,486753.8125,486781.40625
MAPPO continuation (local x),133.0,485689.84375,486382.5729166667
MAPPO continuation (local x),135.0,486704.0625,486749.6770833333
MAPPO continuation (local x),137.0,487855.125,487544.7083333333
MAPPO continuation (local x),139.0,488074.9375,488148.09375
MAPPO continuation (local x),141.0,488514.21875,488366.8333333333
MAPPO continuation (local x),143.0,488511.34375,488037.34375
MAPPO continuation (local x),145.0,487086.46875,487170.8229166667
MAPPO continuation (local x),147.0,485914.65625,486565.5
MAPPO continuation (local x),149.0,486695.375,486358.53125
MAPPO continuation (local x),151.0,486465.5625,486280.25
MAPPO continuation (local x),153.0,485679.8125,485572.8854166667
MAPPO continuation (local x),155.0,484573.28125,485504.2291666667
MAPPO continuation (local x),157.0,486259.59375,485771.78125
MAPPO continuation (local x),159.0,486482.46875,486167.2291666667
MAPPO continuation (local x),161.0,485759.625,485339.6041666667
MAPPO continuation (local x),163.0,483776.71875,484830.6875
MAPPO continuation (local x),165.0,484955.71875,484171.8958333333
MAPPO continuation (local x),167.0,483783.25,484279.9791666667
MAPPO continuation (local x),169.0,484100.96875,484534.1875
MAPPO continuation (local x),171.0,485718.34375,485524.8229166667
MAPPO continuation (local x),173.0,486755.15625,486446.09375
MAPPO continuation (local x),175.0,486864.78125,486402.8958333333
MAPPO continuation (local x),177.0,485588.75,486277.6770833333
MAPPO continuation (local x),179.0,486379.5,485976.6041666667
MAPPO continuation (local x),181.0,485961.5625,486113.34375
MAPPO continuation (local x),183.0,485998.96875,485965.4270833333
MAPPO continuation (local x),185.0,485935.75,485320.9583333333
MAPPO continuation (local x),187.0,484028.15625,484796.7291666667
MAPPO continuation (local x),189.0,484426.28125,484293.9479166667
MAPPO continuation (local x),191.0,484427.40625,484284.09375
MAPPO continuation (local x),193.0,483998.59375,483318.0208333333
MAPPO continuation (local x),195.0,481528.0625,482542.9479166667
MAPPO continuation (local x),197.0,482102.1875,481931.4583333333
MAPPO continuation (local x),199.0,482164.125,482862.84375
MAPPO continuation (local x),201.0,484322.21875,483804.9166666667
MAPPO continuation (local x),203.0,484928.40625,485844.4270833333
MAPPO continuation (local x),205.0,488282.65625,487493.2604166667
MAPPO continuation (local x),207.0,489268.71875,488461.5729166667
MAPPO continuation (local x),209.0,487833.34375,488758.3333333333
MAPPO continuation (local x),211.0,489172.9375,488884.5416666667
MAPPO continuation (local x),213.0,489647.34375,489494.2708333333
MAPPO continuation (local x),215.0,489662.53125,490548.4791666667
MAPPO continuation (local x),217.0,492335.5625,491479.5104166667
MAPPO continuation (local x),219.0,492440.4375,492109.2291666667
MAPPO continuation (local x),221.0,491551.6875,491978.6041666667
MAPPO continuation (local x),223.0,491943.6875,491486.25
MAPPO continuation (local x),225.0,490963.375,490892.7708333333
MAPPO continuation (local x),227.0,489771.25,491025.8958333333
MAPPO continuation (local x),229.0,492343.0625,491644.0729166667
MAPPO continuation (local x),231.0,492817.90625,492890.2395833333
MAPPO continuation (local x),233.0,493509.75,493201.2291666667
MAPPO continuation (local x),235.0,493276.03125,493767.8541666667
MAPPO continuation (local x),237.0,494517.78125,494741.25
MAPPO continuation (local x),239.0,496429.9375,495687.3333333333
MAPPO continuation (local x),241.0,496114.28125,496212.2395833333
MAPPO continuation (local x),243.0,496092.5,496229.9791666667
MAPPO continuation (local x),245.0,496483.15625,496436.3125
MAPPO continuation (local x),247.0,496733.28125,496689.5208333333
MAPPO continuation (local x),249.0,496852.125,496669.2083333333
MAPPO continuation (local x),251.0,496422.21875,497063.4166666667
MAPPO continuation (local x),253.0,497915.90625,497187.0416666667
MAPPO continuation (local x),255.0,497223.0,497334.21875
MAPPO continuation (local x),257.0,496863.75,496840.8229166667
MAPPO continuation (local x),259.0,496435.71875,496471.90625
MAPPO continuation (local x),261.0,496116.25,496056.5208333333
MAPPO continuation (local x),263.0,495617.59375,495397.5
MAPPO continuation (local x),265.0,494458.65625,494295.9791666667
MAPPO continuation (local x),267.0,492811.6875,493405.3125
MAPPO continuation (local x),269.0,492945.59375,492954.9583333333
MAPPO continuation (local x),271.0,493107.59375,493402.3020833333
MAPPO continuation (local x),273.0,494153.71875,493945.1979166667
MAPPO continuation (local x),275.0,494574.28125,494759.5625
MAPPO continuation (local x),277.0,495550.6875,494564.125
MAPPO continuation (local x),279.0,493567.40625,494978.3958333333
MAPPO continuation (local x),281.0,495817.09375,495122.1354166667
MAPPO continuation (local x),283.0,495981.90625,495935.90625
MAPPO continuation (local x),285.0,496008.71875,495910.1458333333
MAPPO continuation (local x),287.0,495739.8125,495794.5625
MAPPO continuation (local x),289.0,495635.15625,495362.6354166667
MAPPO continuation (local x),291.0,494712.9375,495927.0
MAPPO continuation (local x),293.0,497432.90625,496118.1458333333
MAPPO continuation (local x),295.0,496208.59375,497290.6979166667
MAPPO continuation (local x),297.0,498230.59375,497055.1770833333
MAPPO continuation (local x),299.0,496726.34375,497473.3645833333
MAPPO continuation (local x),301.0,497463.15625,497540.6666666667
MAPPO continuation (local x),303.0,498432.5,498141.8229166667
MAPPO continuation (local x),305.0,498529.8125,498589.125
MAPPO continuation (local x),307.0,498805.0625,498318.4895833333
MAPPO continuation (local x),309.0,497620.59375,497437.4895833333
MAPPO continuation (local x),311.0,495886.8125,496738.7604166667
MAPPO continuation (local x),313.0,496708.875,496020.7395833333
MAPPO continuation (local x),315.0,495466.53125,496112.7395833333
MAPPO continuation (local x),317.0,496162.8125,495714.9166666667
MAPPO continuation (local x),319.0,495515.40625,496032.4583333333
MAPPO continuation (local x),321.0,496419.15625,495604.59375
MAPPO continuation (local x),323.0,494879.21875,495689.7395833333
MAPPO continuation (local x),325.0,495770.84375,495737.96875
