series,source_kind,learning_episode,mean,std
"MAPPO (fixed 60, 3 seeds)",historical,1.0,119842.65576171875,1390.527732567138
"MAPPO (fixed 60, 3 seeds)",historical,3.0,127292.04372829862,1797.3477538795123
"MAPPO (fixed 60, 3 seeds)",historical,5.0,142567.01633029513,3810.239624838636
"MAPPO (fixed 60, 3 seeds)",historical,7.0,160000.47233072916,2936.244430941633
"MAPPO (fixed 60, 3 seeds)",historical,9.0,174763.22428385416,3072.1730754595615
"MAPPO (fixed 60, 3 seeds)",historical,11.0,186626.5186631944,2003.261961309604
"MAPPO (fixed 60, 3 seeds)",historical,13.0,195537.97721354166,1215.9515971644676
"MAPPO (fixed 60, 3 seeds)",historical,15.0,202380.81749131947,1260.8358436153646
"MAPPO (fixed 60, 3 seeds)",historical,17.0,208705.33919270834,1646.573020082328
"MAPPO (fixed 60, 3 seeds)",historical,19.0,214543.0236545139,3214.9860313169784
"MAPPO (fixed 60, 3 seeds)",historical,21.0,221660.19292534722,3651.747032864011
"MAPPO (fixed 60, 3 seeds)",historical,23.0,229146.37391493053,3534.009194527718
"MAPPO (fixed 60, 3 seeds)",historical,25.0,235744.62543402778,4274.853109826032
"MAPPO (fixed 60, 3 seeds)",historical,27.0,242218.90494791666,4017.2477990170532
"MAPPO (fixed 60, 3 seeds)",historical,29.0,247815.17751736112,4175.14280858703
"MAPPO (fixed 60, 3 seeds)",historical,31.0,253306.33376736112,4716.538170587801
"MAPPO (fixed 60, 3 seeds)",historical,33.0,257968.34331597222,4922.51134406378
"MAPPO (fixed 60, 3 seeds)",historical,35.0,263923.38758680556,4674.205619840436
"MAPPO (fixed 60, 3 seeds)",historical,37.0,270609.74652777775,4812.555324568871
"MAPPO (fixed 60, 3 seeds)",historical,39.0,276283.83029513893,4317.411511304227
"MAPPO (fixed 60, 3 seeds)",historical,41.0,282038.43359375,4418.848122660874
"MAPPO (fixed 60, 3 seeds)",historical,43.0,285204.1236979167,3026.584949386788
"MAPPO (fixed 60, 3 seeds)",historical,45.0,290800.1901041667,2350.9939177352553
"MAPPO (fixed 60, 3 seeds)",historical,47.0,297535.828125,1706.687294649925
"MAPPO (fixed 60, 3 seeds)",historical,49.0,304725.07465277775,2405.5524513885953
"MAPPO (fixed 60, 3 seeds)",historical,51.0,310539.38194444444,3536.001417585914
"MAPPO (fixed 60, 3 seeds)",historical,53.0,314138.68272569444,1528.9591434723477
"MAPPO (fixed 60, 3 seeds)",historical,55.0,317981.21050347225,1513.477039918288
"MAPPO (fixed 60, 3 seeds)",historical,57.0,322304.42230902775,2751.2227739644563
