series,environment_steps,learning_episode,raw_value,three_point_smoothed_value
Q2,25600,1.0,135869.0,144056.9140625
Q2,76800,3.0,152244.828125,154301.63541666666
Q2,128000,5.0,174791.078125,171454.53125
Q2,179200,7.0,187327.6875,189133.24479166666
Q2,230400,9.0,205280.96875,201710.40625
Q2,281600,11.0,212522.5625,211514.671875
Q2,332800,13.0,216740.484375,216247.96875
Q2,384000,15.0,219480.859375,220190.96875
Q2,435200,17.0,224351.5625,224843.38020833334
Q2,486400,19.0,230697.71875,230672.125
Q2,537600,21.0,236967.09375,234791.61458333334
Q2,588800,23.0,236710.03125,238034.41666666666
Q2,640000,25.0,240426.125,240572.640625
Q2,691200,27.0,244581.765625,242320.890625
Q2,742400,29.0,241954.78125,246044.15625
Q2,793600,31.0,251595.921875,247944.16666666666
Q2,844800,33.0,250281.796875,252539.59895833334
Q2,896000,35.0,255741.078125,254830.73958333334
Q2,947200,37.0,258469.34375,258907.27604166666
Q2,998400,39.0,262511.40625,263430.5520833333
Q2,1049600,41.0,269310.90625,267986.59375
Q2,1100800,43.0,272137.46875,273650.9479166667
Q2,1152000,45.0,279504.46875,277069.84375
Q2,1203200,47.0,279567.59375,281229.5104166667
Q2,1254400,49.0,284616.46875,284664.5625
Q2,1305600,51.0,289809.625,289717.1979166667
Q2,1356800,53.0,294725.5,295132.7291666667
Q2,1408000,55.0,300863.0625,299136.5729166667
Q2,1459200,57.0,301821.15625,303153.5520833333
Q2,1510400,59.0,306776.4375,305710.0
Q2,1561600,61.0,308532.40625,309648.875
Q2,1612800,63.0,313637.78125,313800.2916666667
Q2,1664000,65.0,319230.6875,317840.4583333333
Q2,1715200,67.0,320652.90625,320738.3333333333
Q2,1766400,69.0,322331.40625,323745.375
Q2,1817600,71.0,328251.8125,327405.65625
Q2,1868800,73.0,331633.75,331354.3229166667
Q2,1920000,75.0,334177.40625,334233.6354166667
Q2,1971200,77.0,336889.75,337633.6979166667
Q2,2022400,79.0,341833.9375,341287.5208333333
Q2,2073600,81.0,345138.875,345306.5208333333
Q2,2124800,83.0,348946.75,348732.1979166667
Q2,2176000,85.0,352110.96875,351543.65625
Q2,2227200,87.0,353573.25,353009.4270833333
Q2,2278400,89.0,353344.0625,354287.90625
Q2,2329600,91.0,355946.40625,357905.4791666667
Q2,2380800,93.0,364425.96875,361586.28125
Q2,2432000,95.0,364386.46875,365667.1354166667
Q2,2483200,97.0,368188.96875,367950.9791666667
Q2,2534400,99.0,371277.5,370680.5416666667
Q2,2585600,101.0,372575.15625,372155.4895833333
Q2,2636800,103.0,372613.8125,373139.2395833333
Q2,2688000,105.0,374228.75,373562.46875
Q2,2739200,107.0,373844.84375,374597.59375
Q2,2790400,109.0,375719.1875,375058.6666666667
Q2,2841600,111.0,375611.96875,375226.8541666667
Q2,2892800,113.0,374349.40625,378796.7708333333
Q2,2944000,115.0,386428.9375,381876.0520833333
Q2,2995200,117.0,384849.8125,385632.6979166667
Q2,3046400,119.0,385619.34375,387612.6041666667
Q2,3097600,121.0,392368.65625,390432.1354166667
Q2,3148800,123.0,393308.40625,394130.9375
Q2,3200000,125.0,396715.75,396462.3125
Q2,3251200,127.0,399362.78125,400498.2604166667
Q2,3302400,129.0,405416.25,402895.65625
Q2,3353600,131.0,403907.9375,404720.5208333333
Q2,3404800,133.0,404837.375,404344.3020833333
Q2,3456000,135.0,404287.59375,405133.71875
Q2,3507200,137.0,406276.1875,407145.34375
Q2,3558400,139.0,410872.25,409005.7291666667
Q2,3609600,141.0,409868.75,409956.1458333333
Q2,3660800,143.0,409127.4375,410381.78125
Q2,3712000,145.0,412149.15625,411590.0208333333
Q2,3763200,147.0,413493.46875,413519.3333333333
Q2,3814400,149.0,414915.375,414360.5833333333
Q2,3865600,151.0,414672.90625,415158.75
Q2,3916800,153.0,415887.96875,416059.46875
Q2,3968000,155.0,417617.53125,416701.0416666667
Q2,4019200,157.0,416597.625,417545.6041666667
Q2,4070400,159.0,418421.65625,418527.3645833333
Q2,4121600,161.0,420562.8125,420575.0
Q2,4172800,163.0,422740.53125,422958.8333333333
Q2,4224000,165.0,425573.15625,424750.4895833333
Q2,4275200,167.0,425937.78125,424878.71875
Q2,4326400,169.0,423125.21875,424034.8958333333
Q2,4377600,171.0,423041.6875,423543.9166666667
Q2,4428800,173.0,424464.84375,423989.1979166667
Q2,4480000,175.0,424461.0625,424812.8020833333
Q2,4531200,177.0,425512.5,425817.0208333333
Q2,4582400,179.0,427477.5,426711.5
Q2,4633600,181.0,427144.5,429612.9895833333
Q2,4684800,183.0,434216.96875,431122.3645833333
Q2,4736000,185.0,432005.625,432617.2708333333
Q2,4787200,187.0,431629.21875,431798.4479166667
Q2,4838400,189.0,431760.5,430668.09375
Q2,4889600,191.0,428614.5625,431018.2708333333
Q2,4940800,193.0,432679.75,431478.4375
Q2,4992000,195.0,433141.0,434151.2083333333
Q2,5043200,197.0,436632.875,434749.0104166667
Q2,5094400,199.0,434473.15625,435634.9791666667
Q2,5145600,201.0,435798.90625,435721.9895833333
Q2,5196800,203.0,436893.90625,436289.6770833333
Q2,5248000,205.0,436176.21875,435842.5729166667
Q2,5299200,207.0,434457.59375,435235.2083333333
Q2,5350400,209.0,435071.8125,435183.0
Q2,5401600,211.0,436019.59375,436409.5416666667
Q2,5452800,213.0,438137.21875,437421.5729166667
Q2,5504000,215.0,438107.90625,438680.9375
Q2,5555200,217.0,439797.6875,439422.34375
Q2,5606400,219.0,440361.4375,441938.1145833333
Q2,5657600,221.0,445655.21875,442514.8020833333
Q2,5708800,223.0,441527.75,444768.2708333333
Q2,5760000,225.0,447121.84375,443938.1979166667
Q2,5811200,227.0,443165.0,443693.6145833333
Q2,5862400,229.0,440794.0,441540.9375
Q2,5913600,231.0,440663.8125,441354.0208333333
Q2,5964800,233.0,442604.25,441564.0416666667
Q2,6016000,235.0,441424.0625,442459.6354166667
Q2,6067200,237.0,443350.59375,442033.46875
Q2,6118400,239.0,441325.75,443214.4583333333
Q2,6169600,241.0,444967.03125,444076.1979166667
Q2,6220800,243.0,445935.8125,445924.0833333333
Q2,6272000,245.0,446869.40625,446976.9791666667
Q2,6323200,247.0,448125.71875,447973.9895833333
Q2,6374400,249.0,448926.84375,448787.9583333333
Q2,6425600,251.0,449311.3125,449653.9583333333
Q2,6476800,253.0,450723.71875,450721.4166666667
Q2,6528000,255.0,452129.21875,450434.9895833333
