experiment,step,metric,value
DC-PPO (50M+50M),25600,reward,18134.41015625
DC-PPO (50M+50M),76800,reward,18830.322265625
DC-PPO (50M+50M),128000,reward,18692.271484375
DC-PPO (50M+50M),179200,reward,19567.29296875
DC-PPO (50M+50M),230400,reward,21599.720703125
DC-PPO (50M+50M),281600,reward,23377.169921875
DC-PPO (50M+50M),332800,reward,25311.6953125
DC-PPO (50M+50M),384000,reward,26507.279296875
DC-PPO (50M+50M),435200,reward,29104.75
DC-PPO (50M+50M),486400,reward,30297.966796875
DC-PPO (50M+50M),537600,reward,32396.326171875
DC-PPO (50M+50M),588800,reward,32715.158203125
DC-PPO (50M+50M),640000,reward,34445.546875
DC-PPO (50M+50M),691200,reward,35592.87890625
DC-PPO (50M+50M),742400,reward,36220.8515625
DC-PPO (50M+50M),793600,reward,37112.20703125
DC-PPO (50M+50M),844800,reward,36705.93359375
DC-PPO (50M+50M),896000,reward,37690.12109375
DC-PPO (50M+50M),947200,reward,37710.80078125
DC-PPO (50M+50M),998400,reward,38475.09375
DC-PPO (50M+50M),1049600,reward,39757.28515625
DC-PPO (50M+50M),1100800,reward,40186.84375
DC-PPO (50M+50M),1152000,reward,41001.71484375
DC-PPO (50M+50M),1203200,reward,41683.921875
DC-PPO (50M+50M),1254400,reward,42130.4453125
DC-PPO (50M+50M),1305600,reward,42590.7421875
DC-PPO (50M+50M),1356800,reward,45364.2734375
DC-PPO (50M+50M),1408000,reward,44186.578125
DC-PPO (50M+50M),1459200,reward,45309.453125
DC-PPO (50M+50M),1510400,reward,45450.2734375
DC-PPO (50M+50M),1561600,reward,44332.40625
DC-PPO (50M+50M),1612800,reward,45278.82421875
DC-PPO (50M+50M),1664000,reward,46574.62890625
DC-PPO (50M+50M),1715200,reward,46517.828125
DC-PPO (50M+50M),1766400,reward,46952.625
DC-PPO (50M+50M),1817600,reward,48135.1796875
DC-PPO (50M+50M),1868800,reward,48038.91015625
DC-PPO (50M+50M),1920000,reward,48367.859375
DC-PPO (50M+50M),1971200,reward,47658.44921875
DC-PPO (50M+50M),2022400,reward,48189.63671875
DC-PPO (50M+50M),2073600,reward,49242.7109375
DC-PPO (50M+50M),2124800,reward,50558.33984375
DC-PPO (50M+50M),2176000,reward,51587.91796875
DC-PPO (50M+50M),2227200,reward,51860.81640625
DC-PPO (50M+50M),2278400,reward,51205.703125
DC-PPO (50M+50M),2329600,reward,52125.125
DC-PPO (50M+50M),2380800,reward,52086.37890625
DC-PPO (50M+50M),2432000,reward,52455.84765625
DC-PPO (50M+50M),2483200,reward,51937.01953125
DC-PPO (50M+50M),2534400,reward,52700.07421875
DC-PPO (50M+50M),2585600,reward,52382.31640625
DC-PPO (50M+50M),2636800,reward,52215.15625
DC-PPO (50M+50M),2688000,reward,52718.52734375
