series,environment_steps,raw_value,three_point_smoothed_value
Q2 Cartesian spatial + curriculum,25600,135869.0,144056.9140625
Q2 Cartesian spatial + curriculum,76800,152244.828125,154301.63541666666
Q2 Cartesian spatial + curriculum,128000,174791.078125,171454.53125
Q2 Cartesian spatial + curriculum,179200,187327.6875,189133.24479166666
Q2 Cartesian spatial + curriculum,230400,205280.96875,201710.40625
Q2 Cartesian spatial + curriculum,281600,212522.5625,211514.671875
Q2 Cartesian spatial + curriculum,332800,216740.484375,216247.96875
Q2 Cartesian spatial + curriculum,384000,219480.859375,220190.96875
Q2 Cartesian spatial + curriculum,435200,224351.5625,224843.38020833334
Q2 Cartesian spatial + curriculum,486400,230697.71875,230672.125
Q2 Cartesian spatial + curriculum,537600,236967.09375,234791.61458333334
Q2 Cartesian spatial + curriculum,588800,236710.03125,238034.41666666666
Q2 Cartesian spatial + curriculum,640000,240426.125,240572.640625
Q2 Cartesian spatial + curriculum,691200,244581.765625,242320.890625
Q2 Cartesian spatial + curriculum,742400,241954.78125,246044.15625
Q2 Cartesian spatial + curriculum,793600,251595.921875,247944.16666666666
Q2 Cartesian spatial + curriculum,844800,250281.796875,252539.59895833334
Q2 Cartesian spatial + curriculum,896000,255741.078125,254830.73958333334
Q2 Cartesian spatial + curriculum,947200,258469.34375,258907.27604166666
Q2 Cartesian spatial + curriculum,998400,262511.40625,263430.5520833333
Q2 Cartesian spatial + curriculum,1049600,269310.90625,267986.59375
Q2 Cartesian spatial + curriculum,1100800,272137.46875,273650.9479166667
Q2 Cartesian spatial + curriculum,1152000,279504.46875,277069.84375
Q2 Cartesian spatial + curriculum,1203200,279567.59375,281229.5104166667
Q2 Cartesian spatial + curriculum,1254400,284616.46875,284664.5625
Q2 Cartesian spatial + curriculum,1305600,289809.625,289717.1979166667
Q2 Cartesian spatial + curriculum,1356800,294725.5,295132.7291666667
Q2 Cartesian spatial + curriculum,1408000,300863.0625,299136.5729166667
Q2 Cartesian spatial + curriculum,1459200,301821.15625,303153.5520833333
Q2 Cartesian spatial + curriculum,1510400,306776.4375,305710.0
Q2 Cartesian spatial + curriculum,1561600,308532.40625,309648.875
Q2 Cartesian spatial + curriculum,1612800,313637.78125,313800.2916666667
Q2 Cartesian spatial + curriculum,1664000,319230.6875,317840.4583333333
Q2 Cartesian spatial + curriculum,1715200,320652.90625,320738.3333333333
Q2 Cartesian spatial + curriculum,1766400,322331.40625,323745.375
Q2 Cartesian spatial + curriculum,1817600,328251.8125,327405.65625
Q2 Cartesian spatial + curriculum,1868800,331633.75,331354.3229166667
Q2 Cartesian spatial + curriculum,1920000,334177.40625,334233.6354166667
Q2 Cartesian spatial + curriculum,1971200,336889.75,337633.6979166667
Q2 Cartesian spatial + curriculum,2022400,341833.9375,341287.5208333333
Q2 Cartesian spatial + curriculum,2073600,345138.875,345306.5208333333
Q2 Cartesian spatial + curriculum,2124800,348946.75,348732.1979166667
Q2 Cartesian spatial + curriculum,2176000,352110.96875,351543.65625
Q2 Cartesian spatial + curriculum,2227200,353573.25,353009.4270833333
Q2 Cartesian spatial + curriculum,2278400,353344.0625,354287.90625
Q2 Cartesian spatial + curriculum,2329600,355946.40625,357905.4791666667
Q2 Cartesian spatial + curriculum,2380800,364425.96875,361586.28125
Q2 Cartesian spatial + curriculum,2432000,364386.46875,365667.1354166667
Q2 Cartesian spatial + curriculum,2483200,368188.96875,367950.9791666667
Q2 Cartesian spatial + curriculum,2534400,371277.5,370680.5416666667
Q2 Cartesian spatial + curriculum,2585600,372575.15625,372155.4895833333
Q2 Cartesian spatial + curriculum,2636800,372613.8125,373139.2395833333
Q2 Cartesian spatial + curriculum,2688000,374228.75,373562.46875
Q2 Cartesian spatial + curriculum,2739200,373844.84375,374597.59375
Q2 Cartesian spatial + curriculum,2790400,375719.1875,375058.6666666667
Q2 Cartesian spatial + curriculum,2841600,375611.96875,375226.8541666667
Q2 Cartesian spatial + curriculum,2892800,374349.40625,378796.7708333333
Q2 Cartesian spatial + curriculum,2944000,386428.9375,381876.0520833333
Q2 Cartesian spatial + curriculum,2995200,384849.8125,385632.6979166667
Q2 Cartesian spatial + curriculum,3046400,385619.34375,387612.6041666667
Q2 Cartesian spatial + curriculum,3097600,392368.65625,390432.1354166667
Q2 Cartesian spatial + curriculum,3148800,393308.40625,394130.9375
Q2 Cartesian spatial + curriculum,3200000,396715.75,396462.3125
Q2 Cartesian spatial + curriculum,3251200,399362.78125,400498.2604166667
Q2 Cartesian spatial + curriculum,3302400,405416.25,402895.65625
Q2 Cartesian spatial + curriculum,3353600,403907.9375,404720.5208333333
Q2 Cartesian spatial + curriculum,3404800,404837.375,404344.3020833333
Q2 Cartesian spatial + curriculum,3456000,404287.59375,405133.71875
Q2 Cartesian spatial + curriculum,3507200,406276.1875,407145.34375
Q2 Cartesian spatial + curriculum,3558400,410872.25,409005.7291666667
Q2 Cartesian spatial + curriculum,3609600,409868.75,409956.1458333333
Q2 Cartesian spatial + curriculum,3660800,409127.4375,410381.78125
Q2 Cartesian spatial + curriculum,3712000,412149.15625,411590.0208333333
Q2 Cartesian spatial + curriculum,3763200,413493.46875,413519.3333333333
Q2 Cartesian spatial + curriculum,3814400,414915.375,414360.5833333333
Q2 Cartesian spatial + curriculum,3865600,414672.90625,415158.75
Q2 Cartesian spatial + curriculum,3916800,415887.96875,416059.46875
Q2 Cartesian spatial + curriculum,3968000,417617.53125,416701.0416666667
Q2 Cartesian spatial + curriculum,4019200,416597.625,417545.6041666667
Q2 Cartesian spatial + curriculum,4070400,418421.65625,418527.3645833333
Q2 Cartesian spatial + curriculum,4121600,420562.8125,420575.0
Q2 Cartesian spatial + curriculum,4172800,422740.53125,422958.8333333333
Q2 Cartesian spatial + curriculum,4224000,425573.15625,424750.4895833333
Q2 Cartesian spatial + curriculum,4275200,425937.78125,424878.71875
Q2 Cartesian spatial + curriculum,4326400,423125.21875,424034.8958333333
Q2 Cartesian spatial + curriculum,4377600,423041.6875,423543.9166666667
Q2 Cartesian spatial + curriculum,4428800,424464.84375,423989.1979166667
Q2 Cartesian spatial + curriculum,4480000,424461.0625,424812.8020833333
Q2 Cartesian spatial + curriculum,4531200,425512.5,425817.0208333333
Q2 Cartesian spatial + curriculum,4582400,427477.5,426711.5
Q2 Cartesian spatial + curriculum,4633600,427144.5,429612.9895833333
Q2 Cartesian spatial + curriculum,4684800,434216.96875,431122.3645833333
Q2 Cartesian spatial + curriculum,4736000,432005.625,432617.2708333333
Q2 Cartesian spatial + curriculum,4787200,431629.21875,431798.4479166667
Q2 Cartesian spatial + curriculum,4838400,431760.5,430668.09375
Q2 Cartesian spatial + curriculum,4889600,428614.5625,431018.2708333333
Q2 Cartesian spatial + curriculum,4940800,432679.75,431478.4375
Q2 Cartesian spatial + curriculum,4992000,433141.0,434151.2083333333
Q2 Cartesian spatial + curriculum,5043200,436632.875,434749.0104166667
Q2 Cartesian spatial + curriculum,5094400,434473.15625,435634.9791666667
Q2 Cartesian spatial + curriculum,5145600,435798.90625,435721.9895833333
Q2 Cartesian spatial + curriculum,5196800,436893.90625,436289.6770833333
Q2 Cartesian spatial + curriculum,5248000,436176.21875,435842.5729166667
Q2 Cartesian spatial + curriculum,5299200,434457.59375,435235.2083333333
Q2 Cartesian spatial + curriculum,5350400,435071.8125,435183.0
Q2 Cartesian spatial + curriculum,5401600,436019.59375,436409.5416666667
Q2 Cartesian spatial + curriculum,5452800,438137.21875,437421.5729166667
Q2 Cartesian spatial + curriculum,5504000,438107.90625,438680.9375
Q2 Cartesian spatial + curriculum,5555200,439797.6875,439422.34375
Q2 Cartesian spatial + curriculum,5606400,440361.4375,441938.1145833333
Q2 Cartesian spatial + curriculum,5657600,445655.21875,442514.8020833333
Q2 Cartesian spatial + curriculum,5708800,441527.75,444768.2708333333
Q2 Cartesian spatial + curriculum,5760000,447121.84375,443938.1979166667
Q2 Cartesian spatial + curriculum,5811200,443165.0,443693.6145833333
Q2 Cartesian spatial + curriculum,5862400,440794.0,441540.9375
Q2 Cartesian spatial + curriculum,5913600,440663.8125,441354.0208333333
Q2 Cartesian spatial + curriculum,5964800,442604.25,441564.0416666667
Q2 Cartesian spatial + curriculum,6016000,441424.0625,442459.6354166667
Q2 Cartesian spatial + curriculum,6067200,443350.59375,442033.46875
Q2 Cartesian spatial + curriculum,6118400,441325.75,443214.4583333333
Q2 Cartesian spatial + curriculum,6169600,444967.03125,444076.1979166667
Q2 Cartesian spatial + curriculum,6220800,445935.8125,445924.0833333333
Q2 Cartesian spatial + curriculum,6272000,446869.40625,446976.9791666667
Q2 Cartesian spatial + curriculum,6323200,448125.71875,447973.9895833333
Q2 Cartesian spatial + curriculum,6374400,448926.84375,448787.9583333333
Q2 Cartesian spatial + curriculum,6425600,449311.3125,449653.9583333333
Q2 Cartesian spatial + curriculum,6476800,450723.71875,450721.4166666667
Q2 Cartesian spatial + curriculum,6528000,452129.21875,450434.9895833333
Q2 Cartesian spatial + curriculum,6579200,448452.03125,449159.8541666667
Q2 Cartesian spatial + curriculum,6630400,446898.3125,448056.375
Q2 Cartesian spatial + curriculum,6681600,448818.78125,449340.5833333333
Q2 Cartesian spatial + curriculum,6732800,452304.65625,450925.34375
Q2 Cartesian spatial + curriculum,6784000,451652.59375,452822.3541666667
Q2 Cartesian spatial + curriculum,6835200,454509.8125,450810.0104166667
Q2 Cartesian spatial + curriculum,6886400,446267.625,450566.6770833333
Q2 Cartesian spatial + curriculum,6937600,450922.59375,448725.78125
Q2 Cartesian spatial + curriculum,6988800,448987.125,450696.9166666667
Q2 Cartesian spatial + curriculum,7040000,452181.03125,450408.875
Q2 Cartesian spatial + curriculum,7091200,450058.46875,451300.9583333333
Q2 Cartesian spatial + curriculum,7142400,451663.375,449696.0520833333
Q2 Cartesian spatial + curriculum,7193600,447366.3125,450137.2604166667
Q2 Cartesian spatial + curriculum,7244800,451382.09375,450351.3020833333
Q2 Cartesian spatial + curriculum,7296000,452305.5,452160.9895833333
Q2 Cartesian spatial + curriculum,7347200,452795.375,451800.6041666667
Q2 Cartesian spatial + curriculum,7398400,450300.9375,453012.6354166667
Q2 Cartesian spatial + curriculum,7449600,455941.59375,453109.125
Q2 Cartesian spatial + curriculum,7500800,453084.84375,455849.4895833333
Q2 Cartesian spatial + curriculum,7552000,458522.03125,455693.5833333333
Q2 Cartesian spatial + curriculum,7603200,455473.875,459808.2604166667
Q2 Cartesian spatial + curriculum,7654400,465428.875,461761.2708333333
Q2 Cartesian spatial + curriculum,7705600,464381.0625,462533.7291666667
Q2 Cartesian spatial + curriculum,7756800,457791.25,462062.6458333333
Q2 Cartesian spatial + curriculum,7808000,464015.625,461697.6458333333
Q2 Cartesian spatial + curriculum,7859200,463286.0625,464295.0833333333
Q2 Cartesian spatial + curriculum,7910400,465583.5625,464678.4270833333
Q2 Cartesian spatial + curriculum,7961600,465165.65625,465573.1979166667
Q2 Cartesian spatial + curriculum,8012800,465970.375,462411.21875
Q2 Cartesian spatial + curriculum,8064000,456097.625,460555.6770833333
Q2 Cartesian spatial + curriculum,8115200,459599.03125,459628.4583333333
Q2 Cartesian spatial + curriculum,8166400,463188.71875,464246.6979166667
Q2 Cartesian spatial + curriculum,8217600,469952.34375,467172.9270833333
Q2 Cartesian spatial + curriculum,8268800,468377.71875,468134.8958333333
Q2 Cartesian spatial + curriculum,8320000,466074.625,465885.8958333333
Q2 Cartesian spatial + curriculum,8371200,463205.34375,465421.3333333333
Q2 Cartesian spatial + curriculum,8422400,466984.03125,464764.3333333333
Q2 Cartesian spatial + curriculum,8473600,464103.625,465584.6041666667
Q2 Cartesian spatial + curriculum,8524800,465666.15625,466019.4270833333
Q2 Cartesian spatial + curriculum,8576000,468288.5,465885.3645833333
Q2 Cartesian spatial + curriculum,8627200,463701.4375,466667.0729166667
Q2 Cartesian spatial + curriculum,8678400,468011.28125,466078.1458333333
Q2 Cartesian spatial + curriculum,8729600,466521.71875,467113.1458333333
Q2 Cartesian spatial + curriculum,8780800,466806.4375,464959.0416666667
Q2 Cartesian spatial + curriculum,8832000,461548.96875,463193.9479166667
Q2 Cartesian spatial + curriculum,8883200,461226.4375,462984.21875
Q2 Cartesian spatial + curriculum,8934400,466177.25,464725.9895833333
Q2 Cartesian spatial + curriculum,8985600,466774.28125,464654.7395833333
Q2 Cartesian spatial + curriculum,9036800,461012.6875,462343.25
Q2 Cartesian spatial + curriculum,9088000,459242.78125,459941.7083333333
Q2 Cartesian spatial + curriculum,9139200,459569.65625,461997.3541666667
Q2 Cartesian spatial + curriculum,9190400,467179.625,464152.96875
Q2 Cartesian spatial + curriculum,9241600,465709.625,465264.4270833333
Q2 Cartesian spatial + curriculum,9292800,462904.03125,464035.6979166667
Q2 Cartesian spatial + curriculum,9344000,463493.4375,463577.9270833333
Q2 Cartesian spatial + curriculum,9395200,464336.3125,464674.71875
Q2 Cartesian spatial + curriculum,9446400,466194.40625,465060.5520833333
Q2 Cartesian spatial + curriculum,9497600,464650.9375,463899.1770833333
Q2 Cartesian spatial + curriculum,9548800,460852.1875,465097.4270833333
Q2 Cartesian spatial + curriculum,9600000,469789.15625,466841.375
Q2 Cartesian spatial + curriculum,9651200,469882.78125,468374.9791666667
Q2 Cartesian spatial + curriculum,9702400,465453.0,465905.375
Q2 Cartesian spatial + curriculum,9753600,462380.34375,463956.8020833333
Q2 Cartesian spatial + curriculum,9804800,464037.0625,463581.4375
Q2 Cartesian spatial + curriculum,9856000,464326.90625,464732.25
Q2 Cartesian spatial + curriculum,9907200,465832.78125,467966.1354166667
Q2 Cartesian spatial + curriculum,9958400,473738.71875,469869.28125
Q2 Cartesian spatial + curriculum,10009600,470036.34375,471913.3645833333
Q2 Cartesian spatial + curriculum,10060800,471965.03125,473754.8541666667
Q2 Cartesian spatial + curriculum,10112000,479263.1875,473131.2916666667
Q2 Cartesian spatial + curriculum,10163200,468165.65625,474397.2708333333
Q2 Cartesian spatial + curriculum,10214400,475762.96875,472152.7604166667
Q2 Cartesian spatial + curriculum,10265600,472529.65625,473805.8541666667
Q2 Cartesian spatial + curriculum,10316800,473124.9375,472953.625
Q2 Cartesian spatial + curriculum,10368000,473206.28125,474427.5104166667
Q2 Cartesian spatial + curriculum,10419200,476951.3125,475834.9479166667
Q2 Cartesian spatial + curriculum,10470400,477347.25,476346.7916666667
Q2 Cartesian spatial + curriculum,10521600,474741.8125,473744.8020833333
Q2 Cartesian spatial + curriculum,10572800,469145.34375,472465.2916666667
Q2 Cartesian spatial + curriculum,10624000,473508.71875,471982.9166666667
Q2 Cartesian spatial + curriculum,10675200,473294.6875,475653.5416666667
Q2 Cartesian spatial + curriculum,10726400,480157.21875,476704.9375
Q2 Cartesian spatial + curriculum,10777600,476662.90625,478318.3645833333
Q2 Cartesian spatial + curriculum,10828800,478134.96875,477678.625
Q2 Cartesian spatial + curriculum,10880000,478238.0,479380.1770833333
Q2 Cartesian spatial + curriculum,10931200,481767.5625,479851.1354166667
Q2 Cartesian spatial + curriculum,10982400,479547.84375,480933.34375
Q2 Cartesian spatial + curriculum,11033600,481484.625,479247.6145833333
Q2 Cartesian spatial + curriculum,11084800,476710.375,480023.6979166667
Q2 Cartesian spatial + curriculum,11136000,481876.09375,481072.1770833333
Q2 Cartesian spatial + curriculum,11187200,484630.0625,482452.5520833333
Q2 Cartesian spatial + curriculum,11238400,480851.5,483897.15625
Q2 Cartesian spatial + curriculum,11289600,486209.90625,482003.0104166667
Q2 Cartesian spatial + curriculum,11340800,478947.625,480798.9166666667
Q2 Cartesian spatial + curriculum,11392000,477239.21875,478621.0729166667
Q2 Cartesian spatial + curriculum,11443200,479676.375,477779.4270833333
Q2 Cartesian spatial + curriculum,11494400,476422.6875,478330.6666666667
Q2 Cartesian spatial + curriculum,11545600,478892.9375,477477.21875
Q2 Cartesian spatial + curriculum,11596800,477116.03125,476321.71875
Q2 Cartesian spatial + curriculum,11648000,472956.1875,477306.40625
Q2 Cartesian spatial + curriculum,11699200,481847.0,477624.3854166667
Q2 Cartesian spatial + curriculum,11750400,478069.96875,478792.5416666667
Q2 Cartesian spatial + curriculum,11801600,476460.65625,477463.8854166667
Q2 Cartesian spatial + curriculum,11852800,477861.03125,474447.375
Q2 Cartesian spatial + curriculum,11904000,469020.4375,475498.3125
Q2 Cartesian spatial + curriculum,11955200,479613.46875,474539.9479166667
Q2 Cartesian spatial + curriculum,12006400,474985.9375,475535.7395833333
Q2 Cartesian spatial + curriculum,12057600,472007.8125,474065.7708333333
Q2 Cartesian spatial + curriculum,12108800,475203.5625,474123.1770833333
Q2 Cartesian spatial + curriculum,12160000,475158.15625,475284.2604166667
Q2 Cartesian spatial + curriculum,12211200,475491.0625,474999.71875
Q2 Cartesian spatial + curriculum,12262400,474349.9375,475019.1458333333
