group,radius,seed,last_step,last_value,tail25_mean,tail100_mean,points,run
RandomLayout700-v2 Full template12,0,2,49996800,385124.71875,382977.4275,381526.50625,977,randomlayout700v2_staggered_gated_localA_task_R0_seed2_50m_20260804_retry
RandomLayout700-v2 Full template12,0,12,49996800,380048.15625,374715.8225,377199.4403125,977,randomlayout700v2_staggered_gated_localA_task_R0_seed12_50m_20260804_retry
RandomLayout700-v2 Full template12,260,2,49740800,414995.8125,420520.29125,419832.3159375,972,randomlayout700v2_staggered_gated_localA_task_R260_seed2_50m_20260804_retry
RandomLayout700-v2 Full template12,260,12,49024000,405972.84375,410843.37375,408165.794375,958,randomlayout700v2_staggered_gated_localA_task_R260_seed12_50m_20260804_retry
RandomLayout700-v2 Full template12,520,2,49433600,431457.9375,430237.38625,428800.3421875,966,randomlayout700v2_staggered_gated_localA_task_R520_seed2_50m_20260804_retry
RandomLayout700-v2 Full template12,520,12,49075200,440773.125,430394.8675,430724.441875,959,randomlayout700v2_staggered_gated_localA_task_R520_seed12_50m_20260804_retry
RandomLayout700-v2 Full template12,1000,2,49024000,429643.03125,430708.59125,429524.7859375,958,randomlayout700v2_staggered_gated_localA_task_R1000_seed2_50m_20260804_retry
RandomLayout700-v2 Full template12,1000,12,49484800,434466.0625,437258.675,433922.7803125,967,randomlayout700v2_staggered_gated_localA_task_R1000_seed12_50m_20260804_retry
MovingHotspot700,0,2,22502400,399419.0,403463.48375,403330.9353125,440,movinghotspot700_gated_localA_task_R0_seed2_30m_20260803
MovingHotspot700,0,12,29977600,401201.09375,402771.4275,403596.3878125,586,movinghotspot700_gated_localA_task_R0_seed12_30m_20260804
MovingHotspot700,0,22,29977600,403838.90625,394626.61625,393469.884375,586,movinghotspot700_gated_localA_task_R0_seed22_30m_20260804
MovingHotspot700,200,2,21990400,420640.28125,417697.04875,412874.1665625,430,movinghotspot700_gated_localA_task_R200_seed2_30m_20260803
MovingHotspot700,200,12,29977600,442870.21875,444767.05,445359.0165625,586,movinghotspot700_gated_localA_task_R200_seed12_30m_20260804
MovingHotspot700,200,22,29977600,414962.59375,409156.7675,415920.146875,586,movinghotspot700_gated_localA_task_R200_seed22_30m_20260804
MovingHotspot700,400,2,25830400,427505.90625,429325.01375,421106.82375,505,movinghotspot700_gated_localA_task_R400_seed2_30m_20260803
MovingHotspot700,400,12,29977600,428951.15625,424785.215,421767.3271875,586,movinghotspot700_gated_localA_task_R400_seed12_30m_20260804
MovingHotspot700,400,22,29977600,432645.5625,426161.5175,431363.225625,586,movinghotspot700_gated_localA_task_R400_seed22_30m_20260804
MovingHotspot700,600,2,25830400,424781.4375,424422.89,422183.265,505,movinghotspot700_gated_localA_task_R600_seed2_30m_20260803
MovingHotspot700,600,12,29977600,411324.375,418180.33625,419850.105,586,movinghotspot700_gated_localA_task_R600_seed12_30m_20260804
MovingHotspot700,600,22,29977600,406981.96875,407960.01875,406672.6646875,586,movinghotspot700_gated_localA_task_R600_seed22_30m_20260804
RandomLayout700-v2 Full template12 + UAV curriculum,0,2,49996800,466262.0625,464057.88375,464044.49625,977,randomlayout700v2_uavcurriculum12v2_staggered_gated_localA_task_R0_seed2_50m_20260804
RandomLayout700-v2 Full template12 + UAV curriculum,260,2,49996800,476872.96875,476538.0,472289.8975,977,randomlayout700v2_uavcurriculum12v2_staggered_gated_localA_task_R260_seed2_50m_20260804
RandomLayout700-v2 Full template12 + UAV curriculum,520,2,49996800,463165.25,462735.1825,463683.1253125,977,randomlayout700v2_uavcurriculum12v2_staggered_gated_localA_task_R520_seed2_50m_20260804
RandomLayout700-v2 Full template12 + UAV curriculum,1000,2,49996800,459600.96875,463105.815,456089.7921875,977,randomlayout700v2_uavcurriculum12v2_staggered_gated_localA_task_R1000_seed2_50m_20260804
RandomLayout700-v2 Subset29,0,2,41088000,402490.96875,397369.87125,398672.326875,803,randomlayout700v2_template12_subset29_staggered_gated_localA_task_R0_seed2_50m_20260805
RandomLayout700-v2 Subset29,260,2,39808000,460404.21875,455564.15125,457505.1975,778,randomlayout700v2_template12_subset29_staggered_gated_localA_task_R260_seed2_50m_20260805
RandomLayout700-v2 Subset29,520,2,39756800,435094.46875,455999.73125,458112.9165625,777,randomlayout700v2_template12_subset29_staggered_gated_localA_task_R520_seed2_50m_20260805
RandomLayout700-v2 Subset29,1000,2,39705600,448240.71875,451600.875,455653.1303125,776,randomlayout700v2_template12_subset29_staggered_gated_localA_task_R1000_seed2_50m_20260805
700m Diag4,0,2,47539200,503297.84375,499929.875,502333.78,929,Diag4_no_curriculum_R0_seed2
700m Diag4,260,2,46515200,479592.3125,481645.38625,478148.3678125,909,Diag4_no_curriculum_R260_seed2
700m Diag4,520,2,47180800,482581.90625,482068.40375,480413.91625,922,Diag4_no_curriculum_R520_seed2
700m Diag4,1000,2,46464000,486038.15625,486269.43125,481169.8159375,908,Diag4_no_curriculum_R1000_seed2
FixedDiag,0,2,23987200,264110.28125,264624.05125,265133.90390625,469,randomlayout700v2_fixeddiag_staggered_gated_localA_task_R0_seed2_50m_20260804_gpu_retry
FixedDiag,260,2,23372800,261337.25,259877.8775,260885.2053125,457,randomlayout700v2_fixeddiag_staggered_gated_localA_task_R260_seed2_50m_20260804_gpu_retry
FixedDiag,520,2,23475200,260218.296875,260660.53875,261336.78421875,459,randomlayout700v2_fixeddiag_staggered_gated_localA_task_R520_seed2_50m_20260804_gpu_retry
FixedDiag,1000,2,23372800,261359.84375,259688.45,260398.73671875,457,randomlayout700v2_fixeddiag_staggered_gated_localA_task_R1000_seed2_50m_20260804_gpu_retry
